Date,Stock,Qty,Side,Type,Price,Reason
2019-07-29T11:39:20Z,RMD,3,Buy,Limit,126.870003,Probability
2019-07-29T11:39:20Z,CHE,1,Buy,Limit,386.01001,Probability
2019-07-29T11:39:20Z,GS,2,Buy,Limit,222.139999,Probability
2019-07-29T11:39:21Z,UHAL,1,Buy,Limit,386.850006,Probability
2019-07-29T11:39:21Z,DIS,3,Buy,Limit,144.649994,Probability
2019-07-29T11:39:21Z,GPC,3,Buy,Limit,97.910004,Probability
2019-07-29T11:39:21Z,ADP,1,sell,market,NA,Rebalance Market Sell
2019-07-29T11:39:43Z,WCG,1,sell,stop,275.6852604,Initial Stop Loss
2019-07-29T11:39:53Z,TDY,1,sell,stop,285.3366614,Stop Loss Update
2019-07-29T11:40:05Z,TDG,1,sell,stop,479.749605,Stop Loss Update
2019-07-29T11:40:16Z,T,14,sell,stop,33.09189763,Stop Loss Update
2019-07-29T11:40:27Z,SO,9,sell,stop,54.28650032,Stop Loss Update
2019-07-29T11:40:38Z,SFLY,1,sell,stop,50.02099542,Stop Loss Update
2019-07-29T11:40:48Z,PANW,2,sell,stop,217.8829729,Stop Loss Update
2019-07-29T11:40:49Z,NTB,15,sell,market,NA,Negative After Projection
2019-07-29T11:41:00Z,KLAC,3,sell,market,NA,Negative After Projection
2019-07-29T11:41:11Z,INVH,2,sell,stop,26.60213893,Stop Loss Update
2019-07-29T11:41:22Z,INTC,9,sell,market,NA,Negative After Projection
2019-07-29T11:41:33Z,HHC,3,sell,stop,126.6612893,Stop Loss Update
2019-07-29T11:41:34Z,EW,2,sell,stop,202.3453235,Initial Stop Loss
2019-07-29T11:41:45Z,CMCSA,6,sell,stop,43.15992517,Stop Loss Update
2019-07-29T11:41:45Z,CB,2,sell,stop,146.3054279,Initial Stop Loss
2019-07-29T11:41:56Z,BID,8,sell,stop,56.68840216,Stop Loss Update
2019-07-29T11:42:07Z,AXP,3,sell,stop,123.168169,Stop Loss Update
2019-07-29T11:42:18Z,ARRY,10,sell,stop,46.09014359,Stop Loss Update
